"login","password","role","favGames","phoneNumber","numOverDueGames"
"aaronhaley63","OuDt9m4UJ","customer","Dota 2,Genshin Impact,The Sims","+1-878-625-7461",0
"aaronhenson22","JK0sN3I9I","customer","League of Legends,Minecraft","+1-609-941-2140",0
"aaronjones53","L2fAne5eHD","customer","Call of Duty,World of Warcraft,Fortnite,Counter-Strike,Roblox","+1-890-890-1459",0
"adamcox80","8FWui0cy","customer","Counter-Strike,Rocket League","+1-856-493-4729",0
"alanjohnston97","0kxjSm1r47W","customer","Fortnite,League of Legends,Dota 2","+1-233-729-3506",0
"alexandercooper81","5Yi71hlJH","customer","PUBG,Valorant,Counter-Strike,Dota 2,Apex Legends","+1-859-266-5528",0
"alexanderellis52","7Rq28fqCoB","customer","Halo","+1-593-809-7281",0
"alexanderfletcher97","DfnRV0","customer","Call of Duty","+1-354-463-3893",0
"alexandermendoza16","l4xwRAYW","customer","Call of Duty,FIFA,Fortnite,World of Warcraft","+1-525-461-6978",0
"alexandrataylor79","jivcup3","customer","Among Us,League of Legends","+1-419-757-6591",0
"allenramos63","GpVjuyZhr","customer","Destiny 2,Genshin Impact,League of Legends,Counter-Strike,Roblox","+1-259-653-8678",0
"alvinbell2","rYY3DRSVhQ","customer","World of Warcraft","+1-834-453-8994",0
"amandabennett14","O916f263N","customer","Valorant,Fortnite,Genshin Impact,League of Legends,Dota 2","+1-860-919-2619",0
"amandajackson10","Zyo5mtyOYb","customer","Call of Duty,Fortnite,Counter-Strike,PUBG","+1-233-126-3158",0
"amandanelson56","5e3LDSJF","customer","The Sims,Fortnite,Minecraft,Among Us,Apex Legends","+1-210-759-8718",0
"amandathompson36","FGZf4tuS","customer","Dota 2,Overwatch,FIFA,Minecraft,Battlefield","+1-252-512-2416",0
"amandavelez12","iJ0J7I","customer","PUBG","+1-517-619-5168",0
"amandawu70","YzP2EZZw3T","customer","Minecraft,Call of Duty,FIFA","+1-510-346-7341",0
